total_decision_steps,total_minutes,final_metrics,moe_cumulative_reward,propagation_factor,scenario,scenario_name,scenario_path,ignition_pos,sim_seed,delta_moe_total,fire_detection_delay_minutes,response_time_seconds
15,150.0,"{'burnt_area_m2': 568025.0, 'fire_cost_eur': 126330835.2, 'casualties': 1551.0, 'emissions_tonnes': 903.24}",0.9952586984669166,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70646.24460280314, 70542.63323586294)",178917,-0.0038372993410227,60.0,3600.0
58,580.0,"{'burnt_area_m2': 13129125.0, 'fire_cost_eur': 1544312.0, 'casualties': 5515.0, 'emissions_tonnes': 2757.7}",-0.0459722818400106,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70716.24460280128, 69197.63323586294)",509893,-1.0450758631986783,60.0,3600.0
37,370.0,"{'burnt_area_m2': 12682125.0, 'fire_cost_eur': 1468460.0, 'casualties': 5244.0, 'emissions_tonnes': 2622.25}",-0.0442585193554396,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71056.24460280314, 68267.63323586388)",124340,-1.0437408208072156,60.0,3600.0
15,150.0,"{'burnt_area_m2': 6254350.0, 'fire_cost_eur': 468079679.62, 'casualties': 7186.0, 'emissions_tonnes': 10103.84}",-0.0430567473975727,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67581.24460280128, 70892.63323586434)",655023,-1.040133056303886,60.0,3600.0
63,630.0,"{'burnt_area_m2': 11822650.0, 'fire_cost_eur': 20651680.0, 'casualties': 5198.0, 'emissions_tonnes': 2618.5}",-0.0418735637329538,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71171.24460280314, 69462.63323586248)",393731,-1.0412029726765517,60.0,3600.0
25,250.0,"{'burnt_area_m2': 11005700.0, 'fire_cost_eur': 1265950.0, 'casualties': 4521.0, 'emissions_tonnes': 2260.62}",-0.0383546469352399,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71756.24460280128, 68122.63323586294)",857365,-1.0361394742411418,60.0,3600.0
64,640.0,"{'burnt_area_m2': 22317125.0, 'fire_cost_eur': 1160160526.47, 'casualties': 20992.0, 'emissions_tonnes': 15008.53}",-0.1090028612722131,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71216.24460280128, 69652.63323586388)",264749,-1.1074034751520956,60.0,3600.0
17,170.0,"{'burnt_area_m2': 5263550.0, 'fire_cost_eur': 262948121.07, 'casualties': 4764.0, 'emissions_tonnes': 7370.84}",-0.0328374483436416,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67951.24460280128, 71152.63323586341)",657152,-1.030371238473572,60.0,3600.0
49,490.0,"{'burnt_area_m2': 5892700.0, 'fire_cost_eur': 720014.4, 'casualties': 2571.0, 'emissions_tonnes': 1285.74}",-0.020804851828272,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70776.24460280314, 68562.63323586341)",157201,-1.0200845368445026,60.0,3600.0
66,660.0,"{'burnt_area_m2': 18058400.0, 'fire_cost_eur': 977094666.0, 'casualties': 17230.0, 'emissions_tonnes': 9590.48}",-0.0835897073143148,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71221.24460280128, 69707.63323586248)",156200,-1.0824263516556352,60.0,3600.0
39,390.0,"{'burnt_area_m2': 8121025.0, 'fire_cost_eur': 959487.2, 'casualties': 3426.0, 'emissions_tonnes': 1713.37}",-0.0284628896988129,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71121.24460280128, 68542.63323586388)",247881,-1.0278938322612907,60.0,3600.0
68,680.0,"{'burnt_area_m2': 12605450.0, 'fire_cost_eur': 1497983.2, 'casualties': 5349.0, 'emissions_tonnes': 2674.97}",-0.0442355499638417,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(71486.24460280128, 70077.63323586434)",688746,-1.0436909190280146,60.0,3600.0
19,190.0,"{'burnt_area_m2': 4662525.0, 'fire_cost_eur': 273885275.6, 'casualties': 4640.0, 'emissions_tonnes': 7446.19}",-0.0312384451959362,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(67451.24460280128, 70457.63323586341)",532514,-1.0301528174790586,60.0,3600.0
69,690.0,"{'burnt_area_m2': 11225750.0, 'fire_cost_eur': 41842768.0, 'casualties': 5200.0, 'emissions_tonnes': 2640.8}",-0.0403032555095983,1.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(70686.24460280128, 69727.63323586294)",587853,-1.0393819405129632,60.0,3600.0
30,300.0,"{'burnt_area_m2': 2583550.0, 'fire_cost_eur': 328675.2, 'casualties': 1173.0, 'emissions_tonnes': 586.92}",0.990796086813189,0.0,Palisades,Palisades copy.json,/home/ibrahimoguz/FirefightingSoS/wildfire-rl-new/examples/wildfire/data/scenarios/inputs/Palisades copy.json,"(68486.24460280314, 68217.63323586294)",372872,-0.0082933862839029,60.0,3600.0
